,datetime,open,high,low,close,volume,upper,lower,Change
0,2021-06-28,28.5,28.5,28.5,28.5,259.0,0.0,0.0,0.0
1,2021-06-25,27.109,27.109,26.47,26.47,0.0,0.0,0.639,0.639
2,2021-06-24,26.7,27.105,26.6,26.99,10375.0,0.405,0.1,-0.29
3,2021-06-23,26.12,26.5395,26.12,26.5395,0.0,0.4195,0.0,-0.4195
4,2021-06-22,26.21,26.98,26.21,26.98,0.0,0.77,0.0,-0.77
5,2021-06-21,26.855,27.51,26.845,26.85,19875.0,0.655,0.01,0.005
6,2021-06-18,27.66,27.66,26.33,26.33,0.0,0.0,1.33,1.33
7,2021-06-17,26.975,26.975,26.32,26.32,0.0,0.0,0.655,0.655
8,2021-06-16,26.82,26.82,26.82,26.82,0.0,0.0,0.0,0.0
9,2021-06-15,26.81,26.81,26.81,26.81,0.0,0.0,0.0,0.0
10,2021-06-11,26.68,26.68,26.54,26.54,0.0,0.0,0.14,0.14
11,2021-06-10,26.69,26.69,26.69,26.69,0.0,0.0,0.0,0.0
12,2021-06-09,20.77,21.9,20.77,21.9,0.0,1.13,0.0,-1.13
13,2021-06-02,21.0,21.0,21.0,21.0,0.0,0.0,0.0,0.0
14,2021-05-27,19.63,19.63,19.63,19.63,0.0,0.0,0.0,0.0
15,2021-05-26,20.87,20.87,20.87,20.87,0.0,0.0,0.0,0.0
16,2021-05-25,20.2,20.95,20.2,20.585,0.0,0.75,0.0,-0.385
17,2021-05-21,19.63,19.63,19.6,19.6,0.0,0.0,0.03,0.03
18,2021-05-18,19.0,19.0,19.0,19.0,0.0,0.0,0.0,0.0
19,2021-05-13,18.43,18.43,18.43,18.43,0.0,0.0,0.0,0.0
20,2021-05-12,18.3,18.3,18.3,18.3,0.0,0.0,0.0,0.0
21,2021-05-10,19.785,19.785,19.785,19.785,0.0,0.0,0.0,0.0
22,2021-05-07,19.53,19.53,19.53,19.53,0.0,0.0,0.0,0.0
23,2021-05-06,19.19,19.36,19.19,19.36,128.0,0.17,0.0,-0.17
24,2021-05-04,20.84,20.84,20.84,20.84,0.0,0.0,0.0,0.0
25,2021-05-03,21.5,21.5,21.22,21.26,0.0,0.0,0.28,0.24
26,2021-04-30,21.385,21.385,21.385,21.385,0.0,0.0,0.0,0.0
27,2021-04-29,20.7,20.875,20.7,20.875,0.0,0.175,0.0,-0.175
28,2021-04-26,22.7,22.85,22.7,22.85,0.0,0.15,0.0,-0.15
29,2021-04-21,21.19,21.6,21.19,21.6,0.0,0.41,0.0,-0.41
30,2021-04-20,21.91,21.91,21.51,21.51,0.0,0.0,0.4,0.4
31,2021-04-15,23.04,23.04,23.04,23.04,0.0,0.0,0.0,0.0
32,2021-04-12,22.7,22.7,22.7,22.7,0.0,0.0,0.0,0.0
33,2021-04-09,22.785,22.785,22.785,22.785,0.0,0.0,0.0,0.0
34,2021-04-07,23.1,23.1,22.815,22.815,0.0,0.0,0.285,0.285
35,2021-04-06,23.13,23.13,23.13,23.13,0.0,0.0,0.0,0.0
36,2021-04-05,23.05,23.05,23.05,23.05,0.0,0.0,0.0,0.0
37,2021-04-01,22.87,22.87,22.87,22.87,0.0,0.0,0.0,0.0
38,2021-03-22,22.58,22.58,22.58,22.58,0.0,0.0,0.0,0.0
39,2021-03-18,22.6,22.6,22.51,22.51,0.0,0.0,0.09,0.09
40,2021-03-17,23.1,23.45,22.57,22.57,0.0,0.35,0.53,0.53
41,2021-03-16,23.2,23.2,22.6,22.6,0.0,0.0,0.6,0.6
42,2021-03-15,22.36,22.36,22.36,22.36,360.0,0.0,0.0,0.0
43,2021-03-12,21.5,21.5,21.25,21.25,0.0,0.0,0.25,0.25
44,2021-03-11,21.695,21.695,21.5,21.5,0.0,0.0,0.195,0.195
45,2021-03-10,21.19,21.19,20.579,20.579,0.0,0.0,0.611,0.611
46,2021-03-09,20.76,21.01,20.76,21.0,2520.0,0.25,0.0,-0.24
47,2021-03-08,20.3325,20.87,20.0,20.0,200.0,0.5375,0.3325,0.3325
48,2021-03-05,20.27,20.27,20.05,20.06,100.0,0.0,0.22,0.21
49,2021-03-04,19.7,19.7,19.7,19.7,0.0,0.0,0.0,0.0
50,2021-03-03,21.94,21.94,21.15,21.3,2400.0,0.0,0.79,0.64
51,2021-03-02,21.41,21.41,21.41,21.41,0.0,0.0,0.0,0.0
52,2021-03-01,22.15,22.15,22.15,22.15,0.0,0.0,0.0,0.0
53,2021-02-26,22.52,22.52,22.52,22.52,0.0,0.0,0.0,0.0
54,2021-02-25,23.47,24.0,23.15,23.15,871.0,0.53,0.32,0.32
55,2021-02-24,20.9,20.94,20.9,20.94,0.0,0.04,0.0,-0.04
56,2021-02-23,20.99,20.99,20.94,20.94,0.0,0.0,0.05,0.05
57,2021-02-22,22.29,22.36,21.2,21.3,6747.0,0.07,1.09,0.99
58,2021-02-19,22.59,22.59,21.46,21.675,500.0,0.0,1.13,0.915
59,2021-02-19,22.59,22.59,21.46,21.675,2400.0,0.0,1.13,0.915
60,2021-02-18,20.34,20.34,20.32,20.32,0.0,0.0,0.02,0.02
61,2021-02-17,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0
62,2021-02-16,21.43,21.54,20.61,20.61,0.0,0.11,0.82,0.82
63,2021-02-11,20.75,20.75,20.7,20.7,0.0,0.0,0.05,0.05
64,2021-02-10,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0
65,2021-02-08,20.1,20.1,20.1,20.1,0.0,0.0,0.0,0.0
66,2021-02-04,19.15,19.555,19.15,19.555,0.0,0.405,0.0,-0.405
67,2021-02-01,18.89,18.89,18.89,18.89,0.0,0.0,0.0,0.0
68,2021-01-28,19.145,19.145,19.145,19.145,0.0,0.0,0.0,0.0
69,2021-01-27,18.11,18.73,18.11,18.73,0.0,0.62,0.0,-0.62
70,2021-01-26,19.36,19.36,19.36,19.36,0.0,0.0,0.0,0.0
71,2021-01-25,19.45,19.455,19.45,19.455,0.0,0.005,0.0,-0.005
72,2021-01-22,19.95,20.0,19.95,20.0,0.0,0.05,0.0,-0.05
73,2021-01-21,19.425,19.425,19.425,19.425,0.0,0.0,0.0,0.0
74,2021-01-20,19.11,19.11,18.99,18.99,0.0,0.0,0.12,0.12
75,2021-01-19,18.7,18.7,18.7,18.7,0.0,0.0,0.0,0.0
76,2021-01-12,17.445,17.445,17.445,17.445,0.0,0.0,0.0,0.0
77,2021-01-11,17.94,18.13,17.65,17.8,0.0,0.19,0.29,0.14
78,2021-01-08,17.59,17.59,17.59,17.59,0.0,0.0,0.0,0.0
79,2021-01-07,17.59,17.59,17.425,17.425,0.0,0.0,0.165,0.165
80,2021-01-06,17.45,17.45,17.45,17.45,0.0,0.0,0.0,0.0
81,2021-01-05,17.85,18.25,17.85,18.03,0.0,0.4,0.0,-0.18
82,2021-01-04,17.85,17.85,17.85,17.85,0.0,0.0,0.0,0.0
83,2020-12-28,17.55,17.55,17.55,17.55,0.0,0.0,0.0,0.0
84,2020-12-24,17.525,17.525,17.525,17.525,0.0,0.0,0.0,0.0
85,2020-12-23,17.51,17.65,17.5,17.5,0.0,0.14,0.01,0.01
86,2020-12-18,17.05,17.05,17.05,17.05,0.0,0.0,0.0,0.0
87,2020-12-17,16.9,16.9,16.9,16.9,0.0,0.0,0.0,0.0
88,2020-12-16,15.83,15.83,15.83,15.83,0.0,0.0,0.0,0.0
89,2020-12-15,15.6,15.6,15.6,15.6,0.0,0.0,0.0,0.0
90,2020-12-14,15.48,15.48,15.48,15.48,0.0,0.0,0.0,0.0
91,2020-12-10,15.499,15.5,15.47,15.47,0.0,0.001,0.029,0.029
92,2020-12-09,15.74,15.74,15.39,15.39,0.0,0.0,0.35,0.35
93,2020-12-08,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0
94,2020-12-07,15.8,15.8,15.8,15.8,0.0,0.0,0.0,0.0
95,2020-12-04,15.94,15.94,15.94,15.94,0.0,0.0,0.0,0.0
96,2020-12-03,14.66,14.66,14.66,14.66,0.0,0.0,0.0,0.0
97,2020-12-02,14.865,14.865,14.865,14.865,0.0,0.0,0.0,0.0
98,2020-12-01,14.865,14.865,14.865,14.865,0.0,0.0,0.0,0.0
99,2020-11-30,14.8,14.8,14.35,14.425,0.0,0.0,0.45,0.375
