,datetime,open,high,low,close,volume,upper,lower,Change
0,2021-06-28,0.435,0.435,0.40688,0.41215,46655.0,0.0,0.0281,0.0228
1,2021-06-25,0.435,0.435,0.4,0.4349,600.0,0.0,0.035,0.0001
2,2021-06-24,0.435,0.435,0.3787,0.40099,650.0,0.0,0.0563,0.034
3,2021-06-23,0.4025,0.435,0.37,0.406,7542.0,0.0325,0.0325,-0.0035
4,2021-06-22,0.378,0.4034,0.37,0.37,7446.0,0.0254,0.008,0.008
5,2021-06-21,0.4245,0.4245,0.36981,0.378,32516.0,0.0,0.0547,0.0465
6,2021-06-18,0.4276,0.4276,0.385,0.4,65060.0,0.0,0.0426,0.0276
7,2021-06-17,0.4334,0.4334,0.4,0.42,2936.0,0.0,0.0334,0.0134
8,2021-06-16,0.435,0.435,0.4,0.4125,3400.0,0.0,0.035,0.0225
9,2021-06-15,0.3841,0.435,0.3841,0.414,3879.0,0.0509,0.0,-0.0299
10,2021-06-14,0.4398,0.4398,0.41,0.42,21100.0,0.0,0.0298,0.0198
11,2021-06-11,0.44,0.4409,0.4101,0.4399,3485.0,0.0009,0.0299,0.0001
12,2021-06-10,0.4408,0.4408,0.4254,0.4254,50.0,0.0,0.0154,0.0154
13,2021-06-09,0.4559,0.4559,0.42,0.43845,9200.0,0.0,0.0359,0.0175
14,2021-06-08,0.4559,0.4569,0.43,0.4569,9295.0,0.001,0.0259,-0.001
15,2021-06-07,0.388,0.4779,0.388,0.44005,23190.0,0.0899,0.0,-0.052
16,2021-06-04,0.4569,0.4569,0.4,0.42,19167.0,0.0,0.0569,0.0369
17,2021-06-03,0.472,0.472,0.4051,0.44785,16426.0,0.0,0.0669,0.0241
18,2021-06-02,0.442,0.442,0.4,0.442,39210.0,0.0,0.042,0.0
19,2021-06-01,0.4719,0.4719,0.427,0.435,23292.0,0.0,0.0449,0.0369
20,2021-05-28,0.425,0.478,0.425,0.45,15857.0,0.053,0.0,-0.025
21,2021-05-27,0.4146,0.46,0.4146,0.425,690.0,0.0454,0.0,-0.0104
22,2021-05-26,0.4869,0.4869,0.43985,0.445,27782.0,0.0,0.047,0.0419
23,2021-05-25,0.4398,0.5,0.4398,0.46395,0.0,0.0602,0.0,-0.0241
24,2021-05-24,0.5019,0.5019,0.444,0.472,22654.0,0.0,0.0579,0.0299
25,2021-05-21,0.4999,0.4999,0.45,0.49,19304.0,0.0,0.0499,0.0099
26,2021-05-20,0.45,0.4999,0.45,0.45,5724.0,0.0499,0.0,0.0
27,2021-05-19,0.48,0.48,0.4504,0.4504,0.0,0.0,0.0296,0.0296
28,2021-05-18,0.4525,0.48,0.45,0.46,3284.0,0.0275,0.0025,-0.0075
29,2021-05-17,0.51,0.51,0.4553,0.46,36270.0,0.0,0.0547,0.05
30,2021-05-14,0.475,0.5297,0.4635,0.475,25967.0,0.0547,0.0115,0.0
31,2021-05-13,0.45,0.528,0.45,0.486,36800.0,0.078,0.0,-0.036
32,2021-05-12,0.541,0.541,0.475,0.475,74101.0,0.0,0.066,0.066
33,2021-05-11,0.4903,0.5103,0.4806,0.51,0.0,0.02,0.0097,-0.0197
34,2021-05-10,0.4806,0.55,0.48,0.515,28984.0,0.0694,0.0006,-0.0344
35,2021-05-07,0.54,0.54,0.48,0.5298,0.0,0.0,0.06,0.0102
36,2021-05-06,0.52,0.53,0.5,0.52,3339.0,0.01,0.02,0.0
37,2021-05-05,0.535,0.535,0.52,0.53,3750.0,0.0,0.015,0.005
38,2021-05-04,0.543,0.543,0.4886,0.53,8895.0,0.0,0.0544,0.013
39,2021-05-03,0.5421,0.5421,0.54,0.5418,4300.0,0.0,0.0021,0.0003
40,2021-04-30,0.525,0.54,0.513,0.535,1802.0,0.015,0.012,-0.01
41,2021-04-29,0.525,0.525,0.52,0.5225,13050.0,0.0,0.005,0.0025
42,2021-04-28,0.527,0.527,0.51,0.519,2900.0,0.0,0.017,0.008
43,2021-04-27,0.48,0.5682,0.48,0.55,2124.0,0.0882,0.0,-0.07
