,datetime,open,high,low,close,volume,upper,lower,Change
0,2021-06-28,1.71,1.71,1.52,1.52,300.0,0.0,0.19,0.19
1,2021-06-23,1.94,1.94,1.94,1.94,0.0,0.0,0.0,0.0
2,2021-06-22,1.52,2.13,1.52,1.52,738.0,0.61,0.0,0.0
3,2021-06-21,1.88,1.88,1.88,1.88,285.0,0.0,0.0,0.0
4,2021-06-17,1.78,1.78,1.78,1.78,0.0,0.0,0.0,0.0
5,2021-06-16,1.75,1.75,1.75,1.75,0.0,0.0,0.0,0.0
6,2021-06-15,1.88,1.88,1.88,1.88,0.0,0.0,0.0,0.0
7,2021-06-14,1.95,1.95,1.7501,1.95,0.0,0.0,0.1999,0.0
8,2021-06-11,1.96,1.96,1.72,1.72,400.0,0.0,0.24,0.24
9,2021-06-10,1.9,1.9,1.78,1.78,0.0,0.0,0.12,0.12
10,2021-06-08,1.76,1.76,1.76,1.76,0.0,0.0,0.0,0.0
11,2021-06-07,1.88,1.88,1.85,1.85,100.0,0.0,0.03,0.03
12,2021-06-04,1.8,1.88,1.8,1.88,177.0,0.08,0.0,-0.08
13,2021-06-03,2.08,2.08,1.85,1.85,0.0,0.0,0.23,0.23
14,2021-06-01,1.6,1.6,1.6,1.6,0.0,0.0,0.0,0.0
15,2021-05-28,1.5999,1.5999,1.5999,1.5999,0.0,0.0,0.0,0.0
16,2021-05-27,1.52,1.52,1.52,1.52,0.0,0.0,0.0,0.0
17,2021-05-26,1.6,1.6,1.6,1.6,0.0,0.0,0.0,0.0
18,2021-05-25,1.55,1.56,1.55,1.56,100.0,0.01,0.0,-0.01
19,2021-05-19,1.5501,1.5501,1.5501,1.5501,0.0,0.0,0.0,0.0
20,2021-05-18,1.59,1.59,1.51,1.51,0.0,0.0,0.08,0.08
21,2021-05-17,1.59,1.59,1.59,1.59,0.0,0.0,0.0,0.0
22,2021-05-12,1.6,1.6,1.6,1.6,0.0,0.0,0.0,0.0
23,2021-05-10,1.8275,1.93,1.52,1.75,711.0,0.1025,0.3075,0.0775
24,2021-05-07,1.51,1.51,1.51,1.51,0.0,0.0,0.0,0.0
25,2021-05-05,1.57,1.58,1.5,1.5,402.0,0.01,0.07,0.07
26,2021-05-03,1.58,1.58,1.58,1.58,0.0,0.0,0.0,0.0
27,2021-04-30,1.65,1.93,1.57,1.58,0.0,0.28,0.08,0.07
28,2021-04-29,1.75,1.75,1.66,1.66,0.0,0.0,0.09,0.09
29,2021-04-28,1.69,1.69,1.69,1.69,0.0,0.0,0.0,0.0
30,2021-04-26,1.98,1.98,1.98,1.98,0.0,0.0,0.0,0.0
31,2021-04-21,1.95,1.95,1.95,1.95,0.0,0.0,0.0,0.0
32,2021-04-19,1.56,1.95,1.56,1.95,0.0,0.39,0.0,-0.39
33,2021-04-13,1.98,1.98,1.56,1.56,425.0,0.0,0.42,0.42
34,2021-04-09,1.54,1.54,1.54,1.54,0.0,0.0,0.0,0.0
