,datetime,open,high,low,close,volume,upper,lower,Change
0,2021-06-28,0.2,0.21,0.2,0.21,307755.0,0.01,0.0,-0.01
1,2021-06-25,0.1937,0.1937,0.19,0.19,9302.0,0.0,0.0037,0.0037
2,2021-06-24,0.2,0.2051,0.19,0.195,18075.0,0.0051,0.01,0.005
3,2021-06-23,0.1929,0.1996,0.18,0.1996,207035.0,0.0067,0.0129,-0.0067
4,2021-06-22,0.19,0.19,0.182,0.1895,34101.0,0.0,0.008,0.0005
5,2021-06-21,0.1925,0.1925,0.1805,0.1898,156275.0,0.0,0.012,0.0027
6,2021-06-18,0.19,0.191,0.18,0.1897,48650.0,0.001,0.01,0.0003
7,2021-06-17,0.1905,0.1905,0.18,0.184,25016.0,0.0,0.0105,0.0065
8,2021-06-16,0.2,0.2,0.185,0.189,71800.0,0.0,0.015,0.011
9,2021-06-15,0.2079,0.2079,0.1842,0.195,11430.0,0.0,0.0237,0.0129
10,2021-06-14,0.1964,0.2,0.18355,0.195,98069.0,0.0036,0.0128,0.0014
11,2021-06-11,0.1966,0.1997,0.18355,0.192,41507.0,0.0031,0.0131,0.0046
12,2021-06-10,0.195,0.2014,0.1875,0.2,18659.0,0.0064,0.0075,-0.005
13,2021-06-09,0.18,0.1972,0.18,0.195,95095.0,0.0172,0.0,-0.015
14,2021-06-08,0.2,0.2,0.1851,0.195,86900.0,0.0,0.0149,0.005
15,2021-06-07,0.175,0.195,0.175,0.18,171225.0,0.02,0.0,-0.005
16,2021-06-04,0.1922,0.1922,0.18,0.18,3490.0,0.0,0.0122,0.0122
17,2021-06-03,0.19,0.1914,0.18,0.18235,83428.0,0.0014,0.01,0.0076
18,2021-06-02,0.1887,0.1887,0.1762,0.1847,13418.0,0.0,0.0125,0.004
19,2021-06-01,0.1869,0.1954,0.182,0.1913,6197.0,0.0085,0.0049,-0.0044
20,2021-05-28,0.182,0.1869,0.17576,0.1869,39150.0,0.0049,0.0062,-0.0049
21,2021-05-27,0.18,0.1839,0.172,0.1839,25337.0,0.0039,0.008,-0.0039
22,2021-05-26,0.1928,0.197,0.185,0.1968,18478.0,0.0042,0.0078,-0.004
23,2021-05-25,0.1913,0.1913,0.1658,0.1895,23000.0,0.0,0.0255,0.0018
24,2021-05-24,0.1873,0.1996,0.18365,0.19075,17500.0,0.0123,0.0036,-0.0035
25,2021-05-21,0.2,0.2,0.187,0.19,6429.0,0.0,0.013,0.01
26,2021-05-20,0.173,0.188,0.173,0.188,0.0,0.015,0.0,-0.015
27,2021-05-19,0.1874,0.1889,0.18,0.1828,42180.0,0.0015,0.0074,0.0046
28,2021-05-18,0.189,0.2,0.18,0.1801,143338.0,0.011,0.009,0.0089
29,2021-05-17,0.1755,0.1835,0.17,0.17925,6255.0,0.008,0.0055,-0.0038
30,2021-05-14,0.181,0.2,0.181,0.1905,14442.0,0.019,0.0,-0.0095
31,2021-05-13,0.197,0.197,0.169,0.181,92071.0,0.0,0.028,0.016
32,2021-05-12,0.18,0.1998,0.178,0.1998,125000.0,0.0198,0.002,-0.0198
33,2021-05-11,0.1977,0.1977,0.18,0.1876,319822.0,0.0,0.0177,0.0101
34,2021-05-10,0.2031,0.2077,0.2,0.20385,114511.0,0.0046,0.0031,-0.0008
35,2021-05-07,0.1958,0.2016,0.1958,0.20104,7210.0,0.0058,0.0,-0.0052
36,2021-05-06,0.215,0.215,0.19125,0.19575,48365.0,0.0,0.0237,0.0192
37,2021-05-05,0.1992,0.1992,0.19,0.199,25000.0,0.0,0.0092,0.0002
38,2021-05-04,0.19,0.1983,0.19,0.19,45827.0,0.0083,0.0,0.0
39,2021-05-03,0.1993,0.2044,0.1876,0.204,21200.0,0.0051,0.0117,-0.0047
40,2021-04-30,0.2033,0.2159,0.2033,0.208,24250.0,0.0126,0.0,-0.0047
41,2021-04-29,0.21,0.218,0.198,0.198,57900.0,0.008,0.012,0.012
42,2021-04-28,0.2134,0.2144,0.21,0.2122,38702.0,0.001,0.0034,0.0012
43,2021-04-27,0.1962,0.2083,0.1962,0.208,3121.0,0.0121,0.0,-0.0118
44,2021-04-26,0.2064,0.215,0.205,0.2075,40971.0,0.0086,0.0014,-0.0011
45,2021-04-23,0.213,0.22,0.2111,0.2189,78068.0,0.007,0.0019,-0.0059
46,2021-04-22,0.2093,0.223,0.2092,0.219,11859.0,0.0137,0.0001,-0.0097
47,2021-04-21,0.2192,0.2349,0.213,0.2349,425370.0,0.0157,0.0062,-0.0157
48,2021-04-20,0.198,0.215,0.198,0.2128,202181.0,0.017,0.0,-0.0148
49,2021-04-19,0.187,0.198,0.1864,0.198,195528.0,0.011,0.0006,-0.011
50,2021-04-16,0.1743,0.1743,0.1605,0.1605,90450.0,0.0,0.0138,0.0138
51,2021-04-15,0.1838,0.185,0.177,0.177,45210.0,0.0012,0.0068,0.0068
52,2021-04-14,0.169,0.1836,0.169,0.18,32918.0,0.0146,0.0,-0.011
53,2021-04-13,0.1752,0.1779,0.1701,0.1779,120160.0,0.0027,0.0051,-0.0027
54,2021-04-12,0.1718,0.1755,0.16,0.162,561141.0,0.0037,0.0118,0.0098
55,2021-04-09,0.1752,0.1752,0.1746,0.1746,2140.0,0.0,0.0006,0.0006
56,2021-04-08,0.1682,0.173,0.1624,0.173,11000.0,0.0048,0.0058,-0.0048
57,2021-04-07,0.1679,0.1679,0.1585,0.1585,29343.0,0.0,0.0094,0.0094
58,2021-04-06,0.1642,0.1709,0.1604,0.1699,93999.0,0.0067,0.0038,-0.0057
59,2021-04-05,0.188,0.188,0.161,0.175,576116750.0,0.0,0.027,0.013
60,2021-04-01,0.16705,0.179,0.16705,0.179,5000.0,0.0119,0.0,-0.0119
