,datetime,open,high,low,close,volume,upper,lower,Change
0,2021-06-28,0.1266,0.1266,0.1135,0.123,70353.0,0.0,0.0131,0.0036
1,2021-06-25,0.116,0.1231,0.1138,0.1179,89233.0,0.0071,0.0022,-0.0019
2,2021-06-24,0.131,0.13175,0.118,0.1229,349204.0,0.0008,0.013,0.0081
3,2021-06-23,0.1321,0.1321,0.121,0.13,57800.0,0.0,0.0111,0.0021
4,2021-06-22,0.1301,0.1301,0.1211,0.125,47261.0,0.0,0.009,0.0051
5,2021-06-21,0.134,0.134,0.12,0.13,6081.0,0.0,0.014,0.004
6,2021-06-18,0.13,0.13491,0.1208,0.129,15351.0,0.0049,0.0092,0.001
7,2021-06-17,0.1203,0.1306,0.12,0.13,68798.0,0.0103,0.0003,-0.0097
8,2021-06-16,0.136,0.136,0.127,0.128,117600.0,0.0,0.009,0.008
9,2021-06-15,0.1206,0.132,0.1206,0.13,11002.0,0.0114,0.0,-0.0094
10,2021-06-14,0.1214,0.144,0.1214,0.1318,18140.0,0.0226,0.0,-0.0104
11,2021-06-11,0.1372,0.1445,0.1216,0.1322,4500.0,0.0073,0.0156,0.005
12,2021-06-10,0.133,0.133,0.1229,0.1229,127810.0,0.0,0.0101,0.0101
13,2021-06-09,0.13,0.1418,0.1273,0.13255,17517.0,0.0118,0.0027,-0.0025
14,2021-06-08,0.1363,0.145,0.13,0.133,134666.0,0.0087,0.0063,0.0033
15,2021-06-07,0.157,0.157,0.134,0.1363,374781.0,0.0,0.023,0.0207
16,2021-06-04,0.1541,0.1541,0.14,0.144,86937.0,0.0,0.0141,0.0101
17,2021-06-03,0.1477,0.1493,0.14,0.144,37673.0,0.0016,0.0077,0.0037
18,2021-06-02,0.1335,0.1457,0.131,0.14,25640.0,0.0122,0.0025,-0.0065
19,2021-06-01,0.1547,0.1547,0.1401,0.14215,19880.0,0.0,0.0146,0.0126
20,2021-05-28,0.138,0.147,0.138,0.147,24688.0,0.009,0.0,-0.009
21,2021-05-27,0.142,0.1425,0.138,0.14,18268.0,0.0005,0.004,0.002
22,2021-05-26,0.1473,0.1473,0.1392,0.1425,22930.0,0.0,0.0081,0.0048
23,2021-05-25,0.1479,0.1479,0.1405,0.1474,54698.0,0.0,0.0074,0.0005
24,2021-05-24,0.14,0.1496,0.138,0.1445,201079.0,0.0096,0.002,-0.0045
25,2021-05-21,0.1516,0.1542,0.1406,0.14772,39200.0,0.0026,0.011,0.0039
26,2021-05-20,0.143,0.1539,0.14,0.1486,60800.0,0.0109,0.003,-0.0056
27,2021-05-19,0.1496,0.1496,0.14,0.1459,22337.0,0.0,0.0096,0.0037
28,2021-05-18,0.1383,0.1495,0.1355,0.1409,9483.0,0.0112,0.0028,-0.0026
29,2021-05-17,0.1495,0.1495,0.1361,0.14,129390.0,0.0,0.0134,0.0095
30,2021-05-14,0.162,0.162,0.1395,0.145,29509.0,0.0,0.0225,0.017
31,2021-05-13,0.1415,0.1575,0.1349,0.1489,108200.0,0.016,0.0066,-0.0074
32,2021-05-12,0.14,0.1412,0.1314,0.1412,35525.0,0.0012,0.0086,-0.0012
33,2021-05-11,0.16,0.16,0.14,0.14,256840.0,0.0,0.02,0.02
34,2021-05-10,0.1735,0.1735,0.1416,0.15,255056.0,0.0,0.0319,0.0235
35,2021-05-07,0.15049,0.16,0.1475,0.16,171601.0,0.0095,0.003,-0.0095
36,2021-05-06,0.14,0.161,0.14,0.1565,106310.0,0.021,0.0,-0.0165
37,2021-05-05,0.179,0.179,0.146,0.1547,167717.0,0.0,0.033,0.0243
38,2021-05-04,0.183,0.183,0.1629,0.1664,68318.0,0.0,0.0201,0.0166
39,2021-05-03,0.144,0.177,0.144,0.1629,212482.0,0.033,0.0,-0.0189
40,2021-04-30,0.1645,0.168,0.15,0.1635,390877.0,0.0035,0.0145,0.001
41,2021-04-29,0.168,0.168,0.1505,0.1645,32750.0,0.0,0.0175,0.0035
42,2021-04-28,0.1663,0.1665,0.1537,0.162,4550.0,0.0002,0.0126,0.0043
43,2021-04-27,0.175,0.179,0.15581,0.15581,5171.0,0.004,0.0192,0.0192
44,2021-04-26,0.179,0.1859,0.1529,0.1585,250440.0,0.0069,0.0261,0.0205
45,2021-04-23,0.199,0.199,0.1612,0.1814,54374.0,0.0,0.0378,0.0176
46,2021-04-22,0.187,0.189,0.17,0.184,94348.0,0.002,0.017,0.003
47,2021-04-21,0.1505,0.1742,0.1505,0.17,46204.0,0.0237,0.0,-0.0195
48,2021-04-20,0.1812,0.1812,0.15525,0.17,88465.0,0.0,0.026,0.0112
49,2021-04-19,0.162,0.201,0.162,0.1769,70275.0,0.039,0.0,-0.0149
50,2021-04-16,0.1733,0.1889,0.1674,0.1769,161978.0,0.0156,0.0059,-0.0036
51,2021-04-15,0.169,0.1854,0.163,0.1757,116050.0,0.0164,0.006,-0.0067
52,2021-04-14,0.1565,0.175,0.1505,0.17,44272.0,0.0185,0.006,-0.0135
53,2021-04-13,0.1505,0.1788,0.1505,0.17,105731.0,0.0283,0.0,-0.0195
54,2021-04-12,0.181,0.181,0.1513,0.155,62828.0,0.0,0.0297,0.026
55,2021-04-09,0.155,0.1649,0.155,0.1649,2075.0,0.0099,0.0,-0.0099
56,2021-04-08,0.147,0.165,0.1458,0.1551,577473243.0,0.018,0.0012,-0.0081
57,2021-04-07,0.189,0.189,0.15,0.156,693048287.0,0.0,0.039,0.033
58,2021-04-06,0.154,0.1769,0.154,0.1689,2345965106.0,0.0229,0.0,-0.0149
59,2021-04-05,0.1865,0.199,0.1665,0.17539,577211154.0,0.0125,0.02,0.0111
60,2021-04-01,0.199,0.199,0.17754,0.186,971209520.0,0.0,0.0215,0.013
61,2021-03-31,0.185,0.199,0.185,0.199,1966000.0,0.014,0.0,-0.014
62,2021-03-30,0.222,0.222,0.18,0.1899,155410.0,0.0,0.042,0.0321
63,2021-03-29,0.203,0.2035,0.181,0.1882,247539.0,0.0005,0.022,0.0148
64,2021-03-26,0.205,0.2143,0.18,0.20295,322495.0,0.0093,0.025,0.002
65,2021-03-25,0.19,0.21,0.1823,0.1947,186331321.0,0.02,0.0077,-0.0047
66,2021-03-24,0.206,0.2229,0.1983,0.2,661999.0,0.0169,0.0077,0.006
67,2021-03-23,0.22785,0.24,0.21,0.2135,150813.0,0.0121,0.0179,0.0144
68,2021-03-22,0.245,0.2518,0.2156,0.2357,234016.0,0.0068,0.0294,0.0093
69,2021-03-19,0.245,0.25,0.2292,0.23859,171172.0,0.005,0.0158,0.0064
