,datetime,open,high,low,close,volume,upper,lower,Change
0,2021-06-28,0.1175,0.1175,0.1054,0.1175,79552.0,0.0,0.0121,0.0
1,2021-06-25,0.1175,0.1175,0.102,0.1175,0.0,0.0,0.0155,0.0
2,2021-06-24,0.111,0.111,0.1018,0.1018,25300.0,0.0,0.0092,0.0092
3,2021-06-23,0.1113,0.1113,0.0944,0.1,20020.0,0.0,0.0169,0.0113
4,2021-06-22,0.1025,0.111,0.0939,0.111,6032.0,0.0085,0.0086,-0.0085
5,2021-06-21,0.111,0.111,0.091,0.111,1500.0,0.0,0.02,0.0
6,2021-06-18,0.10095,0.111,0.1005,0.11,0.0,0.0101,0.0004,-0.0091
7,2021-06-17,0.1061,0.107,0.0944,0.107,52000.0,0.0009,0.0117,-0.0009
8,2021-06-16,0.10196,0.1139,0.0953,0.11,25000.0,0.0119,0.0067,-0.008
9,2021-06-15,0.1,0.102,0.1,0.102,0.0,0.002,0.0,-0.002
10,2021-06-14,0.1092,0.1092,0.098,0.102,9391.0,0.0,0.0112,0.0072
11,2021-06-11,0.1072,0.1124,0.0901,0.1114,0.0,0.0052,0.0171,-0.0042
12,2021-06-10,0.1134,0.1134,0.1077,0.1134,0.0,0.0,0.0057,0.0
13,2021-06-09,0.1175,0.1175,0.1005,0.1167,17500.0,0.0,0.017,0.0008
14,2021-06-08,0.1,0.1175,0.1,0.1009,2600.0,0.0175,0.0,-0.0009
15,2021-06-07,0.115,0.119,0.1083,0.11,47001.0,0.004,0.0067,0.005
16,2021-06-04,0.119,0.119,0.1019,0.11,28004.0,0.0,0.0171,0.009
17,2021-06-03,0.113,0.12,0.1047,0.115,20582.0,0.007,0.0083,-0.002
18,2021-06-02,0.0963,0.117,0.0963,0.1072,76550.0,0.0207,0.0,-0.0109
19,2021-06-01,0.0975,0.101,0.09635,0.09802,3114.0,0.0035,0.0011,-0.0005
20,2021-05-28,0.0995,0.101,0.0855,0.10023,12400.0,0.0015,0.014,-0.0007
21,2021-05-27,0.09,0.093,0.085,0.09275,10000.0,0.003,0.005,-0.0028
22,2021-05-26,0.098,0.098,0.0878,0.0889,33883.0,0.0,0.0102,0.0091
23,2021-05-25,0.09,0.099,0.09,0.09,0.0,0.009,0.0,0.0
24,2021-05-24,0.1032,0.104,0.0901,0.0932,26000.0,0.0008,0.0131,0.01
25,2021-05-21,0.0991,0.1032,0.0883,0.09,150.0,0.0041,0.0108,0.0091
26,2021-05-20,0.1032,0.1032,0.0883,0.1032,0.0,0.0,0.0149,0.0
27,2021-05-19,0.104,0.104,0.091,0.095,0.0,0.0,0.013,0.009
28,2021-05-18,0.097,0.104,0.093,0.104,21860.0,0.007,0.004,-0.007
29,2021-05-17,0.093,0.099,0.093,0.0964,0.0,0.006,0.0,-0.0034
30,2021-05-14,0.104,0.104,0.093,0.096,6200.0,0.0,0.011,0.008
31,2021-05-13,0.103,0.103,0.093,0.103,21914.0,0.0,0.01,0.0
32,2021-05-12,0.104,0.104,0.097,0.097,64630.0,0.0,0.007,0.007
33,2021-05-11,0.104,0.104,0.097,0.098,32553.0,0.0,0.007,0.006
34,2021-05-10,0.096,0.1083,0.096,0.1035,20000.0,0.0123,0.0,-0.0075
35,2021-05-07,0.102,0.108,0.099,0.104,11750.0,0.006,0.003,-0.002
36,2021-05-06,0.0926,0.106,0.0926,0.1,29300.0,0.0134,0.0,-0.0074
37,2021-05-05,0.1,0.103,0.0926,0.0926,0.0,0.003,0.0074,0.0074
38,2021-05-04,0.0955,0.10125,0.0955,0.099,6750.0,0.0058,0.0,-0.0035
39,2021-05-03,0.107,0.107,0.1,0.10125,0.0,0.0,0.007,0.0057
40,2021-04-30,0.1,0.108,0.0955,0.09988,68693.0,0.008,0.0045,0.0001
41,2021-04-29,0.1095,0.11,0.104,0.1045,0.0,0.0005,0.0055,0.005
42,2021-04-28,0.11,0.11,0.1025,0.1072,0.0,0.0,0.0075,0.0028
43,2021-04-27,0.09875,0.105,0.0935,0.1015,6001.0,0.0062,0.0053,-0.0028
44,2021-04-26,0.105,0.105,0.09965,0.104,225590.0,0.0,0.0053,0.001
45,2021-04-23,0.104,0.104,0.092,0.092,900.0,0.0,0.012,0.012
46,2021-04-22,0.105,0.105,0.0985,0.105,11050.0,0.0,0.0065,0.0
47,2021-04-21,0.105,0.105,0.0996,0.1,3305.0,0.0,0.0054,0.005
48,2021-04-20,0.0996,0.105,0.0996,0.102,0.0,0.0054,0.0,-0.0024
49,2021-04-19,0.105,0.105,0.1,0.1,0.0,0.0,0.005,0.005
50,2021-04-16,0.105,0.105,0.095,0.1,24497.0,0.0,0.01,0.005
51,2021-04-15,0.105,0.105,0.1,0.1,39900.0,0.0,0.005,0.005
52,2021-04-14,0.1043,0.1075,0.101,0.105,215.0,0.0032,0.0033,-0.0007
53,2021-04-13,0.11,0.11,0.101,0.101,28000.0,0.0,0.009,0.009
54,2021-04-12,0.11248,0.11248,0.101,0.11,21640.0,0.0,0.0115,0.0025
