,datetime,open,high,low,close,volume,upper,lower,Change
0,2021-06-28,3.7179,3.814,3.5,3.6503,79561.0,0.0961,0.2179,0.0676
1,2021-06-25,3.5651,3.707,3.44,3.69,40015.0,0.1419,0.1251,-0.1249
2,2021-06-24,3.0,3.55,3.0,3.5491,71775.0,0.55,0.0,-0.5491
3,2021-06-23,2.84,2.95,2.83,2.93,26100.0,0.11,0.01,-0.09
4,2021-06-22,2.75,2.8316,2.75,2.83,5609.0,0.0816,0.0,-0.08
5,2021-06-21,2.68,2.874,2.68,2.7805,18247.0,0.194,0.0,-0.1005
6,2021-06-18,2.81,2.83,2.775,2.775,18856.0,0.02,0.035,0.035
7,2021-06-17,2.81836,2.8508,2.61,2.84,10531.0,0.0324,0.2084,-0.0216
8,2021-06-16,2.574,2.8,2.574,2.73,59200.0,0.226,0.0,-0.156
9,2021-06-15,2.59,2.59,2.495,2.53,6117.0,0.0,0.095,0.06
10,2021-06-14,2.8,2.8,2.5,2.5804,10865.0,0.0,0.3,0.2196
11,2021-06-11,2.75,2.75,2.54,2.64,22252.0,0.0,0.21,0.11
12,2021-06-10,2.6,2.6211,2.5601,2.5601,14517.0,0.0211,0.0399,0.0399
13,2021-06-09,2.6946,2.6946,2.55,2.6,56772.0,0.0,0.1446,0.0946
14,2021-06-08,2.66,2.69996,2.62,2.635,17495.0,0.04,0.04,0.025
15,2021-06-07,2.56,2.72,2.56,2.6846,49059.0,0.16,0.0,-0.1246
16,2021-06-04,2.74,2.74,2.7,2.71,6370.0,0.0,0.04,0.03
17,2021-06-03,2.73716,2.75,2.7,2.72,0.0,0.0128,0.0372,0.0172
18,2021-06-02,2.75,2.8,2.72,2.75,3887.0,0.05,0.03,0.0
19,2021-06-01,2.95,2.95,2.75,2.8,600.0,0.0,0.2,0.15
20,2021-05-28,2.9048,2.9254,2.75,2.80985,2525.0,0.0206,0.1548,0.0949
21,2021-05-27,2.96,2.96,2.85,2.875,11523.0,0.0,0.11,0.085
22,2021-05-26,2.8,2.9467,2.8,2.92,1835.0,0.1467,0.0,-0.12
23,2021-05-25,2.8113,2.95,2.8,2.87,800.0,0.1387,0.0113,-0.0587
24,2021-05-24,2.815,3.0,2.815,2.975,10348.0,0.185,0.0,-0.16
25,2021-05-21,2.7985,2.82,2.73,2.73,2055.0,0.0215,0.0685,0.0685
26,2021-05-20,2.97,2.97,2.74,2.74,1214.0,0.0,0.23,0.23
27,2021-05-19,2.8,2.83,2.745,2.745,0.0,0.03,0.055,0.055
28,2021-05-18,2.86,2.8818,2.75,2.7504,3157.0,0.0218,0.11,0.1096
29,2021-05-17,2.72,2.8604,2.6741,2.6905,9855.0,0.1404,0.0459,0.0295
30,2021-05-14,2.6,2.8,2.6,2.7,10203.0,0.2,0.0,-0.1
31,2021-05-13,2.8,2.93,2.66,2.679,31644.0,0.13,0.14,0.121
32,2021-05-12,2.89,3.09,2.78934,2.875,27647.0,0.2,0.1007,0.015
33,2021-05-11,2.88,3.09,2.88,2.9508,32981.0,0.21,0.0,-0.0708
34,2021-05-10,3.37,3.37,3.12,3.12,5200.0,0.0,0.25,0.25
35,2021-05-07,3.25,3.29,3.08,3.086,1057.0,0.04,0.17,0.164
36,2021-05-06,3.15,3.25,3.045,3.22,64952.0,0.1,0.105,-0.07
37,2021-05-05,3.1,3.1675,2.93,2.9312,10984.0,0.0675,0.17,0.1688
38,2021-05-04,3.15,3.185,3.0602,3.09,1687.0,0.035,0.0898,0.06
39,2021-05-03,3.2655,3.39,3.10739,3.1524,21562.0,0.1245,0.1581,0.1131
40,2021-04-30,3.22,3.25125,3.17,3.25125,10657.0,0.0312,0.05,-0.0312
41,2021-04-29,3.37,3.37,3.19,3.205,12625.0,0.0,0.18,0.165
42,2021-04-28,3.2369,3.37,3.23,3.37,32620.0,0.1331,0.0069,-0.1331
43,2021-04-27,3.165,3.28,3.15,3.2189,2946.0,0.115,0.015,-0.0539
44,2021-04-26,3.3,3.3,3.1,3.15,14331.0,0.0,0.2,0.15
45,2021-04-23,3.24,3.25,3.07,3.25,1489.0,0.01,0.17,-0.01
46,2021-04-22,3.2288,3.25,3.14,3.205,1917.0,0.0212,0.0888,0.0238
47,2021-04-21,3.01,3.2,3.01,3.1144,7363.0,0.19,0.0,-0.1044
48,2021-04-20,3.15,3.213,3.02,3.05625,16180.0,0.063,0.13,0.0938
49,2021-04-19,3.345,3.4,3.17,3.25,11473.0,0.055,0.175,0.095
50,2021-04-16,3.217,3.3124,3.18,3.2954,49115.0,0.0954,0.037,-0.0784
51,2021-04-15,3.226,3.2984,3.02,3.19,22012.0,0.0724,0.206,0.036
52,2021-04-14,3.3,3.3,3.15,3.21,21956.0,0.0,0.15,0.09
53,2021-04-13,3.15,3.1555,3.055,3.1555,14205.0,0.0055,0.095,-0.0055
54,2021-04-12,3.124,3.124,2.9243,3.1,29557.0,0.0,0.1997,0.024
55,2021-04-09,2.825,2.95,2.82,2.95,51800.0,0.125,0.005,-0.125
56,2021-04-08,2.7,2.8695,2.7,2.85,541495855.0,0.1695,0.0,-0.15
57,2021-04-07,2.93,2.93,2.6816,2.835,14708.0,0.0,0.2484,0.095
58,2021-04-06,2.65,2.865,2.65,2.81,11062.0,0.215,0.0,-0.16
59,2021-04-05,2.77,2.8,2.61,2.705,392000.0,0.03,0.16,0.065
60,2021-04-01,2.6,2.68,2.55,2.595,114100.0,0.08,0.05,0.005
61,2021-03-31,2.5899,2.59,2.538,2.58,2476035.0,0.0001,0.0519,0.0099
62,2021-03-30,2.525,2.62,2.52,2.56,540611545.0,0.095,0.005,-0.035
63,2021-03-29,2.5,2.7644,2.5,2.66,24943.0,0.2644,0.0,-0.16
64,2021-03-26,2.39,2.633,2.39,2.59,15042.0,0.243,0.0,-0.2
65,2021-03-25,2.52,2.55,2.3879,2.45,55040.0,0.03,0.1321,0.07
66,2021-03-24,2.63224,2.63224,2.52,2.5204,5055.0,0.0,0.1122,0.1118
67,2021-03-23,2.62,2.76,2.55,2.55,1620.0,0.14,0.07,0.07
68,2021-03-22,2.7396,2.88,2.705,2.7564,19851.0,0.1404,0.0346,-0.0168
69,2021-03-19,2.64652,2.68,2.55,2.6573,14955.0,0.0335,0.0965,-0.0108
70,2021-03-18,2.6985,2.81,2.5,2.55,34461.0,0.1115,0.1985,0.1485
71,2021-03-17,2.8536,2.9,2.62,2.8112,87210.0,0.0464,0.2336,0.0424
72,2021-03-16,3.0,3.0,2.75,2.75,28477.0,0.0,0.25,0.25
73,2021-03-15,2.98,2.98,2.7969,2.83,40159.0,0.0,0.1831,0.15
74,2021-03-12,2.95,2.95813,2.7976,2.827,34839.0,0.0081,0.1524,0.123
75,2021-03-11,2.69,2.9295,2.69,2.86927,26733.0,0.2395,0.0,-0.1793
76,2021-03-10,2.88,2.88,2.65,2.71,32399.0,0.0,0.23,0.17
77,2021-03-09,2.8159,2.82,2.67534,2.77,48584.0,0.0041,0.1406,0.0459
78,2021-03-08,2.88,2.88,2.6,2.62,76804.0,0.0,0.28,0.26
79,2021-03-05,2.4,2.59,2.4,2.5,62610.0,0.19,0.0,-0.1
80,2021-03-04,2.85,2.9251,2.37,2.42,215736.0,0.0751,0.48,0.43
81,2021-03-03,2.92,3.0,2.83,2.83,73465.0,0.08,0.09,0.09
82,2021-03-02,3.21,3.21,2.95,2.95,19347.0,0.0,0.26,0.26
83,2021-03-01,3.25,3.25,2.95,2.95,82320.0,0.0,0.3,0.3
84,2021-02-26,2.8977,3.0,2.71,2.9549,73789.0,0.1023,0.1877,-0.0572
85,2021-02-25,3.06,3.18,2.9433,2.95,78421.0,0.12,0.1167,0.11
86,2021-02-24,3.07,3.11,3.031,3.0735,12675.0,0.04,0.039,-0.0035
87,2021-02-23,3.3,3.3,3.0,3.05,38115.0,0.0,0.3,0.25
88,2021-02-22,3.1754,3.296,3.08,3.1,14016.0,0.1206,0.0954,0.0754
89,2021-02-19,3.5,3.5,3.14,3.195,20419.0,0.0,0.36,0.305
90,2021-02-19,3.5,3.5,3.14,3.195,37200.0,0.0,0.36,0.305
91,2021-02-18,3.2777,3.2783,3.1934,3.25,14212.0,0.0006,0.0843,0.0277
92,2021-02-17,3.3955,3.57,3.185,3.29,40916.0,0.1745,0.2105,0.1055
93,2021-02-16,3.41,3.4993,3.38,3.42,38053.0,0.0893,0.03,-0.01
94,2021-02-12,3.3,3.4279,3.22,3.365,43308.0,0.1279,0.08,-0.065
95,2021-02-11,3.64,3.64,3.2376,3.36,31582.0,0.0,0.4024,0.28
96,2021-02-10,3.36,3.5771,3.35,3.54133,57985.0,0.2171,0.01,-0.1813
97,2021-02-09,3.32,3.32,3.15,3.25,36511.0,0.0,0.17,0.07
