,datetime,open,high,low,close,volume,upper,lower,Change
0,2021-06-28,1.02,1.08,1.01,1.0401,153180.0,0.06,0.01,-0.0201
1,2021-06-25,1.11,1.12,1.08,1.085,26127.0,0.01,0.03,0.025
2,2021-06-24,1.1,1.1,1.05,1.095,71950.0,0.0,0.05,0.005
3,2021-06-23,1.045,1.1,1.045,1.07,42116.0,0.055,0.0,-0.025
4,2021-06-22,1.12,1.12,1.05,1.06,128581.0,0.0,0.07,0.06
5,2021-06-21,1.09,1.12,1.08,1.12,135243.0,0.03,0.01,-0.03
6,2021-06-18,1.14,1.14,1.09,1.12,29614.0,0.0,0.05,0.02
7,2021-06-17,1.12,1.12,1.09,1.095,89225.0,0.0,0.03,0.025
8,2021-06-16,1.12,1.14,1.1,1.109,59463.0,0.02,0.02,0.011
9,2021-06-15,1.18,1.18,1.12,1.135,90359.0,0.0,0.06,0.045
10,2021-06-14,1.21,1.26,1.18,1.209,187138.0,0.05,0.03,0.001
11,2021-06-11,1.22,1.22,1.185,1.22,260963.0,0.0,0.035,0.0
12,2021-06-10,1.14,1.2,1.12,1.19,1149728.0,0.06,0.02,-0.05
13,2021-06-09,1.125,1.15,1.1,1.12,16509.0,0.025,0.025,0.005
14,2021-06-08,1.12,1.15,1.1,1.12,142905.0,0.03,0.02,0.0
15,2021-06-07,1.1,1.2099,1.1,1.12,676000.0,0.1099,0.0,-0.02
16,2021-06-04,1.24,1.24,1.175,1.18,37055.0,0.0,0.065,0.06
17,2021-06-03,1.26,1.26,1.21,1.23,20374.0,0.0,0.05,0.03
18,2021-06-02,1.29,1.2905,1.26,1.26,26467.0,0.0005,0.03,0.03
19,2021-06-01,1.255,1.31,1.25,1.29,58591.0,0.055,0.005,-0.035
20,2021-05-28,1.2,1.26,1.2,1.26,61765.0,0.06,0.0,-0.06
21,2021-05-27,1.2,1.22,1.17,1.19,55806.0,0.02,0.03,0.01
22,2021-05-26,1.17,1.22,1.17,1.1899,61314.0,0.05,0.0,-0.0199
23,2021-05-25,1.21,1.24,1.17,1.17,19909.0,0.03,0.04,0.04
24,2021-05-24,1.245,1.25,1.21,1.24,53859.0,0.005,0.035,0.005
25,2021-05-21,1.205,1.235,1.205,1.22,241544.0,0.03,0.0,-0.015
26,2021-05-20,1.19,1.21,1.16,1.2,24368.0,0.02,0.03,-0.01
27,2021-05-19,1.18,1.2299,1.1601,1.22,124128.0,0.0499,0.0199,-0.04
28,2021-05-18,1.175,1.21,1.17,1.18,38678.0,0.035,0.005,-0.005
29,2021-05-17,1.19,1.19,1.14,1.14,220133.0,0.0,0.05,0.05
30,2021-05-14,1.14,1.21,1.13,1.2,150219.0,0.07,0.01,-0.06
31,2021-05-13,1.16,1.18,1.14,1.1499,471290.0,0.02,0.02,0.0101
32,2021-05-12,1.205,1.205,1.15,1.19,108971.0,0.0,0.055,0.015
33,2021-05-11,1.25,1.25,1.19,1.22,117622.0,0.0,0.06,0.03
34,2021-05-10,1.25,1.25,1.2,1.235,189710.0,0.0,0.05,0.015
35,2021-05-07,1.21,1.23,1.19,1.23,110267.0,0.02,0.02,-0.02
36,2021-05-06,1.22,1.22,1.19,1.21,215162.0,0.0,0.03,0.01
37,2021-05-05,1.24,1.24,1.2,1.22,72779.0,0.0,0.04,0.02
38,2021-05-04,1.28,1.28,1.2,1.217,129996.0,0.0,0.08,0.063
39,2021-05-03,1.25,1.27,1.22,1.26,224838.0,0.02,0.03,-0.01
40,2021-04-30,1.31,1.33,1.28,1.3,307495.0,0.02,0.03,0.01
41,2021-04-29,1.25,1.39,1.21,1.32,1365384.0,0.14,0.04,-0.07
42,2021-04-28,1.24,1.26,1.21,1.21,145453.0,0.02,0.03,0.03
43,2021-04-27,1.35,1.35,1.25,1.27,263623.0,0.0,0.1,0.08
44,2021-04-26,1.42,1.42,1.31,1.38,416314.0,0.0,0.11,0.04
45,2021-04-23,1.11,1.34,1.06,1.26,3656166.0,0.23,0.05,-0.15
46,2021-04-22,1.1,1.1,1.02,1.09,0.0,0.0,0.08,0.01
47,2021-04-21,1.055,1.08,1.05,1.08,0.0,0.025,0.005,-0.025
48,2021-04-20,1.16,1.16,1.02,1.06,17915.0,0.0,0.14,0.1
49,2021-04-19,1.12,1.12,1.05,1.06,8311.0,0.0,0.07,0.06
50,2021-04-16,1.05,1.11,1.05,1.105,0.0,0.06,0.0,-0.055
51,2021-04-15,1.065,1.12,1.065,1.09,4401.0,0.055,0.0,-0.025
52,2021-04-14,1.06,1.11,1.06,1.08,28647.0,0.05,0.0,-0.02
53,2021-04-13,1.13,1.15,1.07,1.07,64200.0,0.02,0.06,0.06
54,2021-04-12,1.14,1.17,1.09,1.13,25946.0,0.03,0.05,0.01
55,2021-04-09,1.105,1.17,1.08,1.17,7130.0,0.065,0.025,-0.065
56,2021-04-08,1.109,1.15,1.1,1.115,551536090.0,0.041,0.009,-0.006
