,datetime,open,high,low,close,volume,upper,lower,Change
0,2021-06-28,0.503,0.5193,0.503,0.513,1450.0,0.0163,0.0,-0.01
1,2021-06-25,0.534,0.534,0.494,0.50665,0.0,0.0,0.04,0.0273
2,2021-06-24,0.5193,0.5193,0.50565,0.50565,3450.0,0.0,0.0136,0.0136
3,2021-06-23,0.5,0.5193,0.5,0.50615,0.0,0.0193,0.0,-0.0061
4,2021-06-22,0.492,0.50515,0.492,0.496,200.0,0.0131,0.0,-0.004
5,2021-06-21,0.514,0.518,0.485,0.49051,13813.0,0.004,0.029,0.0235
6,2021-06-18,0.488,0.50265,0.488,0.50265,0.0,0.0147,0.0,-0.0147
7,2021-06-17,0.51165,0.5193,0.504,0.504,280.0,0.0076,0.0077,0.0077
8,2021-06-16,0.539,0.539,0.519,0.519,0.0,0.0,0.02,0.02
9,2021-06-15,0.532,0.532,0.513,0.5193,4655.0,0.0,0.019,0.0127
10,2021-06-14,0.553,0.555,0.5305,0.5305,0.0,0.002,0.0225,0.0225
11,2021-06-11,0.559,0.5641,0.529,0.529,0.0,0.0051,0.03,0.03
12,2021-06-10,0.5564,0.563,0.545,0.545,0.0,0.0066,0.0114,0.0114
13,2021-06-09,0.575,0.575,0.533,0.533,6100.0,0.0,0.042,0.042
14,2021-06-08,0.576,0.581,0.5585,0.581,5025.0,0.005,0.0175,-0.005
15,2021-06-07,0.61,0.61,0.5259,0.5259,0.0,0.0,0.0841,0.0841
16,2021-06-04,0.619,0.619,0.582,0.6015,134.0,0.0,0.037,0.0175
17,2021-06-03,0.609,0.609,0.5681,0.608,0.0,0.0,0.0409,0.001
18,2021-06-02,0.584,0.59,0.584,0.59,0.0,0.006,0.0,-0.006
19,2021-06-01,0.58185,0.58185,0.55,0.5681,2143.0,0.0,0.0318,0.0137
20,2021-05-28,0.564,0.564,0.53,0.5351,5050.0,0.0,0.034,0.0289
21,2021-05-27,0.55,0.55,0.55,0.55,0.0,0.0,0.0,0.0
22,2021-05-26,0.57,0.57,0.547,0.55455,500.0,0.0,0.023,0.0154
23,2021-05-25,0.55,0.609,0.55,0.609,12200.0,0.059,0.0,-0.059
24,2021-05-24,0.4959,0.51,0.4815,0.488,0.0,0.0141,0.0144,0.0079
25,2021-05-21,0.5,0.5,0.482,0.497,0.0,0.0,0.018,0.003
26,2021-05-20,0.497,0.497,0.475,0.4805,187.0,0.0,0.022,0.0165
27,2021-05-19,0.515,0.515,0.478,0.478,2988.0,0.0,0.037,0.037
28,2021-05-18,0.52,0.52,0.52,0.52,0.0,0.0,0.0,0.0
29,2021-05-17,0.506,0.506,0.506,0.506,0.0,0.0,0.0,0.0
30,2021-05-14,0.481,0.499,0.481,0.499,155.0,0.018,0.0,-0.018
31,2021-05-13,0.461,0.499,0.461,0.497,8100.0,0.038,0.0,-0.036
32,2021-05-12,0.504,0.504,0.463,0.463,0.0,0.0,0.041,0.041
33,2021-05-11,0.51,0.523,0.51,0.523,0.0,0.013,0.0,-0.013
34,2021-05-10,0.51,0.544,0.51,0.51,0.0,0.034,0.0,0.0
35,2021-05-07,0.488,0.5,0.488,0.4965,0.0,0.012,0.0,-0.0085
36,2021-05-06,0.522,0.522,0.466,0.466,12500.0,0.0,0.056,0.056
37,2021-05-05,0.512,0.526,0.512,0.526,0.0,0.014,0.0,-0.014
38,2021-05-04,0.531,0.531,0.494,0.511,0.0,0.0,0.037,0.02
39,2021-05-03,0.547,0.547,0.521,0.522,0.0,0.0,0.026,0.025
40,2021-04-29,0.527,0.53,0.5115,0.53,0.0,0.003,0.0155,-0.003
41,2021-04-28,0.5125,0.53,0.4955,0.518,25500.0,0.0175,0.017,-0.0055
42,2021-04-27,0.523,0.523,0.523,0.523,0.0,0.0,0.0,0.0
43,2021-04-26,0.531,0.531,0.52,0.52,0.0,0.0,0.011,0.011
44,2021-04-23,0.526,0.526,0.502,0.502,0.0,0.0,0.024,0.024
45,2021-04-22,0.529,0.53,0.5,0.5,16875.0,0.001,0.029,0.029
46,2021-04-21,0.548,0.548,0.54,0.544,0.0,0.0,0.008,0.004
47,2021-04-20,0.56,0.565,0.54,0.565,10000.0,0.005,0.02,-0.005
48,2021-04-19,0.55,0.579,0.55,0.5605,10500.0,0.029,0.0,-0.0105
49,2021-04-16,0.584,0.59,0.559,0.559,975.0,0.006,0.025,0.025
50,2021-04-15,0.55,0.55,0.55,0.55,0.0,0.0,0.0,0.0
51,2021-04-14,0.57,0.57,0.55,0.55,400.0,0.0,0.02,0.02
52,2021-04-13,0.5615,0.5615,0.5615,0.5615,0.0,0.0,0.0,0.0
53,2021-04-12,0.567,0.6,0.567,0.58,0.0,0.033,0.0,-0.013
54,2021-04-09,0.562,0.58,0.562,0.58,0.0,0.018,0.0,-0.018
55,2021-04-08,0.544,0.549,0.519,0.549,0.0,0.005,0.025,-0.005
56,2021-04-07,0.544,0.544,0.529,0.53,0.0,0.0,0.015,0.014
