,datetime,open,high,low,close,volume,upper,lower,Change
0,2021-06-28,2.7632,2.84,2.7,2.84,30416.0,0.0768,0.0632,-0.0768
1,2021-06-25,2.83,2.83,2.65,2.68,7414.0,0.0,0.18,0.15
2,2021-06-24,2.6341,2.75,2.6018,2.75,10843.0,0.1159,0.0323,-0.1159
3,2021-06-23,2.6306,2.645,2.5941,2.63,12552.0,0.0144,0.0365,0.0006
4,2021-06-22,2.635,2.6639,2.6,2.6639,49159.0,0.0289,0.035,-0.0289
5,2021-06-21,2.62,2.63,2.51,2.6143,49971.0,0.01,0.11,0.0057
6,2021-06-18,2.6131,2.63408,2.4955,2.56,19207.0,0.021,0.1176,0.0531
7,2021-06-17,2.69,2.69,2.36,2.5504,61047.0,0.0,0.33,0.1396
8,2021-06-16,2.4957,2.51433,2.25,2.3898,27313.0,0.0186,0.2457,0.1059
9,2021-06-15,2.45,2.602,2.4314,2.58748,55584.0,0.152,0.0186,-0.1375
10,2021-06-14,2.375,2.47,2.23,2.43,30939.0,0.095,0.145,-0.055
11,2021-06-11,2.0891,2.2278,2.0817,2.2278,13563.0,0.1387,0.0074,-0.1387
12,2021-06-10,2.26,2.26,2.05,2.13,60393.0,0.0,0.21,0.13
13,2021-06-09,2.355,2.355,2.22,2.25999,3620.0,0.0,0.135,0.095
14,2021-06-08,2.545,2.545,2.26,2.311,32842.0,0.0,0.285,0.234
15,2021-06-07,2.51,2.51,2.36,2.3808,51670.0,0.0,0.15,0.1292
16,2021-06-04,2.235,2.39,2.22,2.36,148992.0,0.155,0.015,-0.125
17,2021-06-03,2.22,2.29,2.2,2.219,18995.0,0.07,0.02,0.001
18,2021-06-02,2.38,2.38,2.21601,2.2599,13412.0,0.0,0.164,0.1201
19,2021-06-01,2.2,2.2785,2.0513,2.2368,35355.0,0.0785,0.1487,-0.0368
20,2021-05-28,1.9485,2.0999,1.9485,2.05,7570.0,0.1514,0.0,-0.1015
21,2021-05-27,1.81,2.02,1.79,1.9562,33613.0,0.21,0.02,-0.1462
22,2021-05-26,1.77,1.8079,1.7165,1.7995,22453.0,0.0379,0.0535,-0.0295
23,2021-05-25,1.73818,1.7565,1.7083,1.74,0.0,0.0183,0.0299,-0.0018
24,2021-05-24,1.77,1.805,1.5,1.61,7090.0,0.035,0.27,0.16
25,2021-05-21,1.7718,1.8,1.7,1.7141,2190.0,0.0282,0.0718,0.0577
26,2021-05-20,1.6012,1.7081,1.6012,1.7006,16537.0,0.1069,0.0,-0.0994
27,2021-05-19,1.6552,1.6552,1.61,1.625,14918.0,0.0,0.0452,0.0302
28,2021-05-18,1.7,1.70229,1.545,1.6543,27634.0,0.0023,0.155,0.0457
29,2021-05-17,1.695,1.695,1.62,1.6506,136.0,0.0,0.075,0.0444
30,2021-05-14,1.6714,1.6714,1.63,1.6512,14858.0,0.0,0.0414,0.0202
31,2021-05-13,1.65,1.69,1.59,1.61,16300.0,0.04,0.06,0.04
32,2021-05-12,1.6495,1.6556,1.62,1.6324,3334.0,0.0061,0.0295,0.0171
33,2021-05-11,1.57,1.66,1.57,1.65,15729.0,0.09,0.0,-0.08
34,2021-05-10,1.65,1.71,1.59,1.6124,21876.0,0.06,0.06,0.0376
35,2021-05-07,1.6491,1.7048,1.63,1.6975,25.0,0.0557,0.0191,-0.0484
36,2021-05-06,1.74,1.74,1.6131,1.659,3300.0,0.0,0.1269,0.081
37,2021-05-05,1.75,1.7551,1.6845,1.7262,3516.0,0.0051,0.0655,0.0238
38,2021-05-04,1.8279,1.8279,1.72,1.7494,4096.0,0.0,0.1079,0.0785
39,2021-05-03,1.864,1.8725,1.7343,1.7999,10686.0,0.0085,0.1297,0.0641
40,2021-04-30,1.882,1.906,1.82,1.84,7386.0,0.024,0.062,0.042
41,2021-04-29,1.85,1.97,1.7901,1.86858,234066.0,0.12,0.0599,-0.0186
42,2021-04-28,1.725,2.23,1.721,1.9652,265268.0,0.505,0.004,-0.2402
43,2021-04-27,1.78,1.85,1.6446,1.72,4264.0,0.07,0.1354,0.06
44,2021-04-26,1.7605,1.82966,1.75,1.78,14730.0,0.0692,0.0105,-0.0195
45,2021-04-23,1.54,1.8084,1.54,1.7094,30049.0,0.2684,0.0,-0.1694
46,2021-04-22,1.615,1.68,1.5838,1.5838,7182.0,0.065,0.0312,0.0312
47,2021-04-21,1.48,1.6277,1.46,1.6,2380.0,0.1477,0.02,-0.12
48,2021-04-20,1.52,1.54,1.46,1.46,8232.0,0.02,0.06,0.06
49,2021-04-19,1.55,1.62,1.515,1.5344,2570.0,0.07,0.035,0.0156
50,2021-04-16,1.41,1.6575,1.38787,1.5107,40378.0,0.2475,0.0221,-0.1007
51,2021-04-15,1.65,1.65,1.4758,1.4758,16748.0,0.0,0.1742,0.1742
52,2021-04-14,1.88,1.88,1.55,1.59,35300.0,0.0,0.33,0.29
53,2021-04-13,1.509,1.76,1.44,1.76,198616.0,0.251,0.069,-0.251
54,2021-04-12,1.72,1.72,1.3616,1.42,104068.0,0.0,0.3584,0.3
55,2021-04-09,1.87,1.87,1.6762,1.6836,14487.0,0.0,0.1938,0.1864
56,2021-04-08,1.85,1.909,1.8138,1.83,1636412301.0,0.059,0.0362,0.02
57,2021-04-07,1.9746,1.9746,1.82,1.89,1845774006.0,0.0,0.1546,0.0846
58,2021-04-06,1.8,1.9565,1.6918,1.9565,15613.0,0.1565,0.1082,-0.1565
59,2021-04-05,1.61,1.88,1.5,1.8,3310906409.0,0.27,0.11,-0.19
60,2021-04-01,2.065,2.3,2.065,2.1722,446085.0,0.235,0.0,-0.1072
61,2021-03-31,2.0187,2.11,1.9708,2.08,327787.0,0.0913,0.0479,-0.0613
62,2021-03-30,1.8,1.97,1.8,1.9,21950.0,0.17,0.0,-0.1
63,2021-03-29,2.012,2.07,1.85,1.8741,51287.0,0.058,0.162,0.1379
64,2021-03-26,1.88,2.1,1.88,2.0396,16201.0,0.22,0.0,-0.1596
65,2021-03-25,2.09,2.09,1.79,1.9196,207562.0,0.0,0.3,0.1704
66,2021-03-24,2.18,2.2286,2.05,2.12,93524.0,0.0486,0.13,0.06
67,2021-03-23,2.3,2.31,2.2,2.2,1658.0,0.01,0.1,0.1
68,2021-03-22,2.34,2.46,2.2527,2.3,22387.0,0.12,0.0873,0.04
69,2021-03-19,2.4,2.49,2.4,2.44,17022.0,0.09,0.0,-0.04
70,2021-03-18,2.63,2.68,2.44,2.4659,71589.0,0.05,0.19,0.1641
71,2021-03-17,2.6,2.776,2.5,2.62933,63516.0,0.176,0.1,-0.0293
72,2021-03-16,2.33,2.5,2.25,2.49,29915.0,0.17,0.08,-0.16
73,2021-03-15,2.345,2.3477,2.259,2.3108,6181.0,0.0027,0.086,0.0342
